country,visits
"US","27115"
"CA","253"
"DE","370"
"CN","134"
"IN","178"
"SG","327"
"FR","136"
"HK","34"
"SE","277"
"GB","87"
"VN","58"
"JP","107"
"ES","73"
"PL","163"
"NL","90"
"IT","23"
"BR","46"
"AT","16"
"PT","12"
"AU","107"
"KR","134"
"IE","28"
"BD","38"
"GR","2"
"ID","34"
"FI","34"
"TH","28"
"TW","12"
"LK","4"
"NO","17"
"RU","37"
"TR","16"
"NZ","67"
"CZ","46"
"MY","48"
"CO","0"
"MX","7"
"RO","10"
"LU","3"
"UA","0"
"BE","52"
"CH","29"
"RE","0"
"NG","54"
"DZ","0"
"IQ","0"
"AE","8"
"AR","0"
"NP","9"
"CL","9"
"SA","9"
"PK","4"
"KE","0"
"UZ","0"
"RS","8"
"ZA","0"
"MA","1"
"EC","0"
"LT","8"
"BM","25"
"OM","0"
"IL","4"
"VE","0"
"SI","3"
"DK","1"
"MD","4"
"CI","4"
"KZ","2"
"AZ","0"
"CR","7"
"SY","0"
"PE","4"
"JO","0"
"T1","0"
"EG","0"
"BO","0"
"AL","0"
"TN","0"
"SN","0"
"HR","0"
"MW","0"
"PH","2"
"SV","0"
"BG","1"
"XK","0"
"TG","5"
"ET","0"
"BF","4"
"EE","0"
"HN","0"
"ZM","0"
"KH","0"
"UY","0"
"LV","0"
"JM","0"
"ML","0"
"QA","0"
"MN","0"
"SZ","0"
"GA","0"
"PA","0"
"HU","0"
"NI","0"
"IS","0"
"IR","0"
"CY","0"
"GE","0"
"AO","0"
"GY","0"
"KG","0"
"BY","0"
"PS","0"
"BA","0"
"GT","0"
"VG","1"
